0,0.03143
0.001,0.031482
0.002,0.03132
0.003,0.03136
0.004,0.03149
0.005,0.031354
0.006,0.031426
0.007,0.031484
0.008,0.031358
0.009,0.0313
0.01,0.031429
0.011,0.031367
0.012,0.031433
0.013,0.031304
0.014,0.031351
0.015,0.031461
0.016,0.031387
0.017,0.031378
0.018,0.031298
0.019,0.031346
0.02,0.031263
0.021,0.031431
0.022,0.031282
0.023,0.031404
0.024,0.031337
0.025,0.031425
0.026,0.03123
0.027,0.031234
0.028,0.031223
0.029,0.031211
0.03,0.031359
0.031,0.03133
0.032,0.031192
0.033,0.031311
0.034,0.03119
0.035,0.031206
0.036,0.031263
0.037,0.031153
0.038,0.031259
0.039,0.031223
0.04,0.031178
0.041,0.031233
0.042,0.031158
0.043,0.031236
0.044,0.031185
0.045,0.031129
0.046,0.031244
0.047,0.031173
0.048,0.031113
0.049,0.031059
0.05,0.031234
0.051,0.031086
0.052,0.03104
0.053,0.031045
0.054,0.031109
0.055,0.031174
0.056,0.031146
0.057,0.030985
0.058,0.031029
0.059,0.031
0.06,0.030969
0.061,0.031068
0.062,0.031093
0.063,0.030995
0.064,0.031067
0.065,0.030959
0.066,0.030974
0.067,0.031028
0.068,0.031042
0.069,0.030892
0.07,0.030959
0.071,0.030932
0.072,0.030907
0.073,0.030982
0.074,0.03091
0.075,0.030934
0.076,0.030777
0.077,0.030784
0.078,0.03093
0.079,0.030728
0.08,0.030871
0.081,0.030778
0.082,0.030881
0.083,0.030718
0.084,0.030695
0.085,0.030795
0.086,0.03074
0.087,0.030709
0.088,0.030791
0.089,0.030758
0.09,0.030574
0.091,0.030716
0.092,0.030673
0.093,0.030635
0.094,0.030529
0.095,0.030695
0.096,0.030619
0.097,0.030555
0.098,0.030608
0.099,0.030624
0.1,0.03054
0.101,0.03055
0.102,0.030472
0.103,0.030517
0.104,0.030374
0.105,0.030474
0.106,0.03044
0.107,0.03041
0.108,0.030419
0.109,0.03029
0.11,0.030366
0.111,0.030238
0.112,0.03038
0.113,0.030309
0.114,0.030226
0.115,0.030339
0.116,0.030294
0.117,0.030222
0.118,0.030184
0.119,0.030134
0.12,0.030174
0.121,0.030203
0.122,0.03006
0.123,0.030139
